Date,Sub 1,Sub 2,Sub 3,Form,Searches,Form CVR,Imprs,IPS,Clicks,CPS,RPC,Clk Rev,Calls,Transfers,TR,Q Calls,QR,RPQC,RPT,Call QR,RPCall,Call Rev,Leads,RPL,Lead Rev,Revenue,RPS
2/1/16,,,,0,51,,0,0,0,0.00%,,$0.00,51,0,0.00%,0,,,,0.00%,$0.00,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-HDJc2GZY_pcrid_10970689240_,UHO,HCMP-,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-HIC-btn-email-responder_HIC,UHO,frm-MS,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-Joerks6W_pcrid_10970689109_-HCMP-,UHO,medicaid-frm,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-L1auZSXy_pcrid_organic,OSC,HCMP-,0,4,,3,0.75,3,75.00%,$3.00,$9.00,0,0,,0,,,,,,$0.00,0,,$0.00,$9.00,$2.25
2/1/16,HCMP-L1auZSXy_pcrid_organic,UHO,HCMP-,0,6,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-L1auZSXy_pcrid_organic,UHO,frm-AL,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-L1auZSXy_pcrid_organic,UHO,frm-PA,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-L1auZSXy_pcrid_organic,UHO,medicaid-frm,0,11,,1,0.09,1,9.09%,$2.00,$2.00,0,0,,0,,,,,,$0.00,0,,$0.00,$2.00,$0.18
2/1/16,HCMP-L1auZSXy_pcrid_organic-HCMP-,UHO,frm-PA,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-L1auZSXy_pcrid_organic-HCMP-,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-L1auZSXy_pcrid_organic-HCMP--HCMP-,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-L1auZSXy_pcrid_organic-HCMP-stateflag-ga,UHO,medicaid-frm,0,3,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-LCDC-BannerAd1-state-nc,UHO,medicaid-frm,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-LCDC-BannerAd1-state-oh,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-LCDC-state-nc,UHO,medicaid-frm,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCE-QMkr3TaS_pcrid_organic-organic-stateflag-al,UHO,frm-AL,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-long-srehkDf1_pcrid_organic-banner,UHO,frm-LA,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-long-srehkDf1_pcrid_organic-banner,UHO,frm-MS,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-long-srehkDf1_pcrid_organic-banner,UHO,frm-PA,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-long-srehkDf1_pcrid_organic-banner,UHO,medicaid-frm,0,9,,1,0.11,1,11.11%,$2.00,$2.00,0,0,,0,,,,,,$0.00,0,,$0.00,$2.00,$0.22
2/1/16,HCMP-OCF-flat-mini-srehkDf1_pcrid_organic-blue-rvb,UHO,HCMP-,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-mini-srehkDf1_pcrid_organic-blue-rvb,UHO,frm-AL,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-mini-srehkDf1_pcrid_organic-blue-rvb,UHO,frm-PA,0,6,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-mini-srehkDf1_pcrid_organic-blue-rvb,UHO,medicaid-frm,0,18,,3,0.17,3,16.67%,$2.00,$6.00,0,0,,0,,,,,,$0.00,0,,$0.00,$6.00,$0.33
2/1/16,HCMP-OCF-flat-srehkDf1_pcrid_organic-stars-hro,UHO,frm-AL,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-srehkDf1_pcrid_organic-stars-hro,UHO,frm-LA,0,5,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-srehkDf1_pcrid_organic-stars-hro,UHO,frm-PA,0,7,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-flat-srehkDf1_pcrid_organic-stars-hro,UHO,medicaid-frm,0,45,,4,0.09,4,8.89%,$2.00,$8.00,0,0,,0,,,,,,$0.00,0,,$0.00,$8.00,$0.18
2/1/16,HCMP-OCF-hover,OSC,HCMP-,0,1,,1,1,1,100.00%,$3.00,$3.00,0,0,,0,,,,,,$0.00,0,,$0.00,$3.00,$3.00
2/1/16,HCMP-OCF-hover,UHO,HCMP-,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-hover,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-hover-HCMP-,UHO,frm-PA,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-hover-HCMP-,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-inner-srehkDf1_pcrid_organic-int1,UHO,medicaid-frm,0,7,,1,0.14,1,14.29%,$2.00,$2.00,0,0,,0,,,,,,$0.00,0,,$0.00,$2.00,$0.29
2/1/16,HCMP-OCF-list-blue-srehkDf1_pcrid_organic-banner,OSC,HCMP-,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-list-blue-srehkDf1_pcrid_organic-banner,UHO,frm-AL,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-list-blue-srehkDf1_pcrid_organic-banner,UHO,frm-LA,0,6,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-list-blue-srehkDf1_pcrid_organic-banner,UHO,frm-MS,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-list-blue-srehkDf1_pcrid_organic-banner,UHO,frm-PA,0,3,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-list-blue-srehkDf1_pcrid_organic-banner,UHO,medicaid-frm,0,13,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCF-list-red-banner,UHO,medicaid-frm,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-OCN-sidebar-OCN-banner,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-c7XbbU4is_pcrid_94069855710_,UHO,HCMP-,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-gsp,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-inner,,,0,25,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-j5oGAcjo_pcrid_10970689610_,UHO,frm-AL,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-qtYX68TU_pcrid_10970689236_-HCMP-stateflag-fl,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-s1yPuQJl_pcrid_10970689283_,UHO,HCMP-stateflag-pa,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-sjf3hgFjK_pcrid_93440899350_,UHO,medicaid-frm,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-srehkDf1_pcrid_organic_blue-rvb-OCF-flat-mini,OSC,HCMP-stateflag-nj,0,1,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-srehkDf1_pcrid_organic_blue-rvb-OCF-flat-mini,UHO,HCMP-stateflag-pa,0,2,,0,0,0,0.00%,,$0.00,0,0,,0,,,,,,$0.00,0,,$0.00,$0.00,$0.00
2/1/16,HCMP-srehkDf1_pcrid_organic_stars-hro-OCF-flat,OSC,HCMP-stateflag-ny,0,1,,1,1,1,100.00%,$3.00,$3.00,0,0,,0,,,,,,$0.00,0,,$0.00,$3.00,$3.00
